Name,Symbol,Price (USD),Volume (USD),Market capacity (USD),Change (1h),Change (24h),Change (7d)
Bitcoin,BTC,"$11,394.07","$26,448,297,124","$210,992,697,202",0.50%,-0.12%,7.21%
Ethereum,ETH,$376.14,"$15,315,730,865","$42,509,147,208",0.70%,-1.41%,10.45%
Tether,USDT,$1.00,"$43,830,604,020","$15,763,747,677",-0.01%,-0.03%,-0.02%
XRP,XRP,$0.246474,"$1,794,530,636","$11,149,542,273",0.27%,-2.65%,0.16%
Bitcoin Cash,BCH,$262.12,"$2,855,762,985","$4,861,053,131",0.65%,2.76%,14.72%
Binance Coin,BNB,$31.01,"$429,908,998","$4,477,918,884",0.49%,1.04%,14.14%
Chainlink,LINK,$10.70,"$1,356,177,500","$3,743,831,579",0.85%,-2.34%,22.19%
Polkadot,DOT,$4.12,"$510,998,361","$3,509,498,458",0.96%,-4.55%,8.27%
Cardano,ADA,$0.107296,"$648,176,175","$3,338,255,373",1.11%,-2.02%,16.45%
Litecoin,LTC,$49.90,"$2,534,250,390","$3,277,430,667",0.77%,-1.31%,7.65%
Bitcoin SV,BSV,$168.46,"$951,231,342","$3,123,922,077",0.29%,-0.70%,3.66%
Crypto.com Coin,CRO,$0.139155,"$64,747,958","$2,880,200,576",0.41%,-1.60%,-5.55%
USD Coin,USDC,$1.00,"$412,908,440","$2,745,782,163",-0.06%,-0.03%,0.00%
EOS,EOS,$2.62,"$1,777,947,097","$2,451,252,292",0.32%,-0.86%,1.33%
Monero,XMR,$127.68,"$1,595,948,576","$2,263,662,558",1.35%,-1.85%,16.09%
TRON,TRX,$0.026543,"$1,152,093,691","$1,902,044,293",0.28%,-1.09%,4.95%
Tezos,XTZ,$2.27,"$169,272,962","$1,697,632,220",0.39%,-3.61%,10.77%
Stellar,XLM,$0.073330,"$118,334,811","$1,525,167,277",1.09%,-2.77%,2.16%
Neo,NEO,$17.28,"$451,939,649","$1,219,005,615",1.53%,-0.71%,4.53%
Wrapped Bitcoin,WBTC,"$11,399.09","$69,815,060","$1,198,404,193",0.61%,-0.05%,7.17%
UNUS SED LEO,LEO,$1.19,"$12,036,804","$1,185,424,252",0.01%,-0.17%,-1.51%
Cosmos,ATOM,$5.64,"$332,404,573","$1,153,180,925",0.60%,-5.32%,18.10%
NEM,XEM,$0.116009,"$30,417,595","$1,044,078,134",0.20%,-4.45%,0.27%
Huobi Token,HT,$4.60,"$119,752,414","$948,843,182",-0.67%,-1.70%,0.27%
Dai,DAI,$1.01,"$105,632,192","$917,344,971",-0.22%,-0.09%,-0.19%
Binance USD,BUSD,$1.00,"$427,709,634","$801,503,894",-0.01%,-0.01%,-0.01%
IOTA,MIOTA,$0.272162,"$11,509,318","$756,483,323",0.88%,-2.90%,7.31%
VeChain,VET,$0.010999,"$116,678,627","$707,383,516",0.79%,-2.04%,3.68%
Aave,LEND,$0.541639,"$33,852,646","$704,130,246",-0.29%,9.56%,25.90%
Zcash,ZEC,$68.44,"$1,023,960,702","$701,962,431",0.65%,-3.03%,11.88%
THETA,THETA,$0.698995,"$44,552,601","$698,994,581",1.12%,-5.73%,0.46%
Dash,DASH,$69.50,"$617,362,290","$678,369,828",0.48%,-1.36%,6.00%
Ethereum Classic,ETC,$5.35,"$522,934,009","$622,116,874",0.31%,-1.51%,3.25%
Uniswap,UNI,$3.05,"$517,641,807","$565,541,412",1.73%,-12.36%,3.59%
Maker,MKR,$557.74,"$31,939,793","$560,395,918",0.72%,-1.83%,9.88%
OMG Network,OMG,$3.34,"$129,760,815","$467,840,128",1.85%,-2.37%,6.32%
UMA,UMA,$8.21,"$15,915,703","$453,951,500",3.19%,-5.88%,37.19%
yearn.finance,YFI,"$15,042.34","$1,443,591,502","$450,784,549",5.67%,1.37%,8.20%
Ontology,ONT,$0.567784,"$137,858,639","$437,941,894",0.10%,-3.08%,0.49%
Synthetix Network Token,SNX,$4.19,"$35,224,609","$428,814,335",2.11%,-6.31%,11.43%
ABBC Coin,ABBC,$0.664869,"$59,208,585","$390,431,481",-7.64%,39.73%,107.96%
BitTorrent,BTT,$0.000355,"$86,800,634","$351,843,714",-0.24%,5.66%,11.69%
OKB,OKB,$5.82,"$67,024,624","$349,344,987",-0.59%,-3.83%,-4.10%
FTX Token,FTT,$3.63,"$1,935,396","$342,894,594",0.40%,-0.27%,7.63%
Algorand,ALGO,$0.318683,"$154,724,958","$337,328,660",2.23%,-5.39%,6.59%
TrueUSD,TUSD,$1.00,"$80,121,582","$336,391,718",-0.01%,-0.03%,-0.03%
Ren,REN,$0.373584,"$139,829,631","$330,447,518",1.69%,0.66%,47.12%
Dogecoin,DOGE,$0.002597,"$89,143,711","$328,959,250",0.75%,-1.06%,0.51%
DigiByte,DGB,$0.023640,"$5,864,930","$322,652,156",0.17%,-1.96%,-0.64%
Basic Attention Token,BAT,$0.212510,"$143,477,774","$315,323,987",0.29%,-0.84%,0.72%
Celsius,CEL,$1.30,"$4,767,472","$311,192,275",-1.26%,1.63%,5.60%
HedgeTrade,HEDG,$0.905609,"$693,841","$306,089,116",-2.10%,0.46%,-2.34%
0x,ZRX,$0.377991,"$51,461,036","$280,943,806",1.78%,-6.67%,7.63%
Compound,COMP,$107.54,"$100,391,743","$275,447,787",0.54%,-3.29%,1.62%
Waves,WAVES,$2.62,"$60,628,296","$270,983,600",0.67%,5.35%,18.42%
Celo,CELO,$2.08,"$5,312,670","$258,550,233",0.95%,-2.92%,6.99%
Kusama,KSM,$29.70,"$26,005,429","$251,568,566",1.01%,-5.14%,20.88%
Paxos Standard,PAX,$1.00,"$360,355,670","$245,528,052",0.25%,0.14%,-0.05%
Aave,AAVE,$47.01,"$3,416,123","$236,621,350",3.62%,-10.35%,22.35%
ICON,ICX,$0.380604,"$15,254,308","$216,829,160",0.97%,-5.12%,2.16%
Qtum,QTUM,$2.23,"$200,169,455","$217,083,148",1.06%,-4.14%,2.35%
Energy Web Token,EWT,$6.98,"$1,049,452","$209,899,521",0.03%,-1.64%,8.74%
NEAR Protocol,NEAR,$1.19,"$49,314,951","$208,363,460",5.36%,1.32%,0.00%
Loopring,LRC,$0.181404,"$73,600,771","$207,629,123",1.00%,1.44%,0.77%
Zilliqa,ZIL,$0.018895,"$24,594,294","$198,665,164",0.95%,-0.44%,4.15%
NXM,NXM,$33.64,"$10,624,797","$190,352,989",0.65%,-5.28%,19.16%
Hedera Hashgraph,HBAR,$0.033844,"$24,549,444","$188,844,096",0.30%,-0.71%,6.08%
Kyber Network,KNC,$0.943425,"$30,392,217","$187,059,596",2.06%,-3.18%,3.08%
